10?DFJSP10
20 15 3
Operations vector:
12 13 11
11 14  11 14 13
11 12  10 11 11
10 12  14 13 11
13 13
Available machine quantity vector:
2 2 1
4 2  4 3 5
5 2  3 4 2
4 2  2 2 4
4 5  3 4 4
2 2  4 2 2
2 4  2 5 4
4 2  2 4 5
1 1  2 2 4
2 2  3 4 2
2 4  2 4 2
4 1  4 3 4
2 4  5 3 2
4 2  4 4 2
1 3  4 1 1
2 2  2 4 3
3 4  4 1 4
4 4  2 4 2
4 3  5 3 4
3 4  4 2 4
4 2  3 4 2
4 3  4 5 4
2 2  2 1 2
3 5  4 4 4
2 2  4 4 5
4 4  2 1 2
3 2  4 4 2
1 2  4 4 3
3 1  4 4 2
3 2  4 4 3
4 2  2 5 4
3 2  4 2 2
4 1  2 4 3
2 4  1 3 4
4 4  3 2 2
2 2  4 2 1
2 4  1 4 3
3 4  2 2 2
5 2  4 5 3
2 2  4 4 4
2 2  4 2 5
4 4  4 2 2
2 5  2 3 1
4 2  2 3 2
2 1  4 3 2
2 3  4 4 4
3 4  2 4 1
4 4  2 4 4
2 2
Available machine vector:
2 6 6
7 2  3 4 8
9 1  7 1 4
7 9  2 4 8
1 2  3 9 10
2 3  4 5 10
9 10  2 4 7
1 5  6 10 6
7 2  5 8 10
2 6  1 2 3
7 4  5 7 10
1 3  5 13 1
2 3  9 10 2
4 8  3 4 8
9 1  3 5 10
9 10  2 5 1
3 5  13 1 2
1 7  2 6 1
5 6  10 9 10
1 2  3 9 10
3 4  8 9 2
5 8  10 3 7
2 9  4 5 7
10 1  2 3 9
10 5  2 9 10
6 7  1 3 5
10 6  10 2 9
2 4  8 3 4
8 9  6 7 9
10 2  5 7 10
6 10  1 3 5
10 1  7 1 3
5 13  2 2 5
8 10  1 2 9
1 5  6 10 1
2 4  5 7 10
1 2  3 9 10
1 2  9 1 7
3 4  8 9 2
9 2  5 7 10
1 5  6 10 6
7 2  2 4 7
1 3  5 13 5
2 6  7 1 2
9 10  3 4 8
9 1  2 9 2
4 7  2 5 8
10 1  5 6 10
5 4  6 7 10
1 3  5 13 1
3 5  10 1 7
3 4  8 9 6
10 2  5 7 10
2 4  8 2 3
4 5  10 1 2
9 1  3 5 13
2 4  7 4 6
7 10  1 5 6
10 2  6 1 3
5 10  2 5 8
10 6  7 2 4
7 3  4 8 9
9 10  2 5 8
10 2  4 8 4
6 7  10 2 3
4 5  10 1 4
7 9  2 6 1
2 9  10 5 2
9 1  2 9 2
3 4  5 10 1
5 6  10 2 5
8 10  1 3 5
10 2  6 3 7
4 5  7 10 3
4 8  9 2 3
4 5  10 2 5
7 10  4 6 7
10 9  10 5 1
2 2  4 8 2
9 3  4 8 9
1 3  5 10 6
10 5  9 10 1
4 7  9 1 3
5 13  2 4 8
2 4  7 2 1
5 6  10 2 5
8 10  1 7 2
4 7  2 9 1
4 7  9 2 5
7 10  1 2 9
1 3  5 10 2
6 6  7 1 2
3 9  10 3 4
8 9  2 4 8
2 5  3 4 8
9 1  7 2 6
1 3  5 13 5
9 10  1 3 5
10 2  4 8 3
7 3  4 8 9
5 1  2 9 4
6 7  10 2 5
8 10  1 4 7
9 2  4 7 6
10 9  10 3 7
2 6  1 3 5
13 6  7 5 2
9 1  4 7 9
2 1  3 5 13
2 4  8 1 2
9 4  5 7 10
2 6  9 10 2
5 1  2 3 9
10 6  10 4 6
7 10  2 3 4
5 10  2 4 8
6 7  6 10 2
5 8  10 3 4
8 9  1 3 5
13 2  6 1 7
1 3  5 10 2
9 1  2 3 9
10 4  6 7 10
1 5  6 10 2
5 8  10 6 10
2 9  2 5 2
3 4  5 10 2
6 1  2 9 2
4 5  7 10 2
9 2  6 2 4
8 1  7 3 7
5 1  3 5 10
1 2  9 6 10
1 2  2 4 7
1 3  5 13 2
5 7  10 1 3
5 10  1 2 9
1 3  5 13 2
9 2  5 8 10
5 2  5 7 10
3 4  8 9 6
7 1  4 7 9
4 6  7 10 3
7 1  7
Data array:
98 3 1.35
51 0.8  0.8
62 5 2.25
51 0.8  0.8
55 5 2.25
51 0.8  0.8
170 5 2.25
74.9 0.7
0.7
112 6 2.7
74.9 0.7
0.7
57 6 2.7
74.9 0.7
0.7
198 10  4.5 51.5  0.5 0.6
152 11  4.95 51.5  0.5 0.6
61 11 4.95
51.5 0.5
0.6
195 10  4.5 66.9  0.7 0.8
183 10  4.5 66.9  0.7 0.8
51 12 5.4
66.9 0.7
0.8
196 5 2.25
78.6 0.8
0.6
109 5 2.25
78.6 0.8
0.6
84 7 3.15
78.6 0.8
0.6
138 18  8.1 73.4  0.6 0.7
128 18  8.1 73.4  0.6 0.7
105 19  8.55 73.4  0.6 0.7
197 8 3.6
57.6 0.8
0.7
177 9 4.05
57.6 0.8
0.7
161 9 4.05
57.6 0.8
0.7
191 10  4.5 52.3  0.6 0.6
116 11  4.95 52.3  0.6 0.6
81 11 4.95
52.3 0.6
0.6
194 7 3.15
69.7 0.7
0.7
189 7 3.15
69.7 0.7
0.7
65 10 4.5
69.7 0.7
0.7
172 6 2.7
62.9 0.9
0.6
169 8 3.6
62.9 0.9
0.6
126 8 3.6
62.9 0.9
0.6
189 8 3.6
57.2 0.9
0.9
162 10  4.5 57.2  0.9 0.9
155 11  4.95 57.2  0.9 0.9
132 6 2.7
72.3 0.6
0.5
105 9 4.05
72.3 0.6
0.5
90 9 4.05
72.3 0.6
0.5
175 7 3.15
75.9 0.7
0.7
158 7 3.15
75.9 0.7
0.7
62 7 3.15
75.9 0.7
0.7
194 14  6.3 70.4  0.7 0.5
131 15  6.75 70.4  0.7 0.5
106 16  7.2 70.4  0.7 0.5
159 11  4.95 68.7  0.8 0.6
129 11  4.95 68.7  0.8 0.6
125 13  5.85 68.7  0.8 0.6
182 4 1.8
60.4 0.5
0.7
104 5 2.25
60.4 0.5
0.7
103 6 2.7
60.4 0.5
0.7
198 12  5.4 52.7  0.7 0.5
156 13  5.85 52.7  0.7 0.5
128 14  6.3 52.7  0.7 0.5
196 8 3.6
74.8 0.6
0.8
131 8 3.6
74.8 0.6
0.8
52 11 4.95
74.8 0.6
0.8
127 19  8.55 73.4  0.5 0.6
123 20  9 73.4  0.5 0.6
64 20 9
73.4 0.5
0.6
164 15  6.75 60.2  0.8 0.6
156 16  7.2 60.2  0.8 0.6
101 17  7.65 60.2  0.8 0.6
163 6 2.7
78.9 0.6
0.6
98 9 4.05
78.9 0.6
0.6
93 9 4.05
78.9 0.6
0.6
169 11  4.95 75.9  0.7 0.6
129 13  5.85 75.9  0.7 0.6
91 13 5.85
75.9 0.7
0.6
146 18  8.1 72.5  0.8 0.6
65 18 8.1
72.5 0.8
0.6
51 19 8.55
72.5 0.8
0.6
193 16  7.2 74.1  0.7 0.6
120 16  7.2 74.1  0.7 0.6
64 17 7.65
74.1 0.7
0.6
151 12  5.4 52  0.7 0.8
119 12  5.4 52  0.7 0.8
77 14 6.3
52 0.7  0.8
93 10 4.5
74.4 0.6
0.9
69 11 4.95
74.4 0.6
0.9
63 11 4.95
74.4 0.6
0.9
168 14  6.3 53.7  0.6 0.6
103 14  6.3 53.7  0.6 0.6
74 15 6.75
53.7 0.6
0.6
141 8 3.6
67.9 0.7
0.5
96 8 3.6
67.9 0.7
0.5
74 10 4.5
67.9 0.7
0.5
